category_id/id,factor,rounding,uom_type,id,name
product.product_uom_categ_vol,1,0.01,Reference Unit of Measure for this category,f303ec09-ab78-43d9-abf2-06839f4eb491,Ampule(s)
product.product_uom_categ_unit,1,0.01,Reference Unit of Measure for this category,41a8984e-c1c1-4512-bce9-978fe7dd6502,Application(s)
product.product_uom_categ_unit,1,0.01,Reference Unit of Measure for this category,57f78dee-f842-4c23-91b8-5d234fd036f7,Capsule(s)
product.uom_categ_wtime,1,0.01,Reference Unit of Measure for this category,5ee53afe-04bc-412a-b1e6-58c97b620ab1,Day(s)
product.product_uom_categ_unit,1,0.01,Reference Unit of Measure for this category,43519b0a-41dc-438c-820c-e3664f30d2ba,Dose(s)
product.product_uom_categ_unit,0.0833333333333,0.01,Bigger than the reference Unit of Measure,8811bf65-be8a-4748-af77-4a0b69734bdc,Dozen(s)
product.product_uom_categ_kgm,20000,0.01,Smaller than the reference Unit of Measure,2114fcb9-eab7-4ad7-afa3-ae043a542b4c,Drop(s)
product.uom_categ_wtime,8,0.01,Smaller than the reference Unit of Measure,0ae4baec-4356-47b5-a090-9e6a4dbe6098,Hour(s)
product.product_uom_categ_unit,1,0.01,Reference Unit of Measure for this category,6c761abc-b59a-4db8-b124-b0a69a812423,IU
product.product_uom_categ_vol,1,0.01,Reference Unit of Measure for this category,21931bab-c9c4-45b9-a693-afeab3104ab5,Liter(s)
product.product_uom_categ_unit,1,0.01,Reference Unit of Measure for this category,3606f9fe-9612-49af-a317-3877a075443c,Packet(s)
product.product_uom_categ_unit,1,0.01,Reference Unit of Measure for this category,1f97c3a5-2786-447f-9da4-a60d3d3b5691,Puff(s)
product.product_uom_categ_vol,67.628,0.01,Smaller than the reference Unit of Measure,e83da3df-d566-4306-a4a0-d14aebec3acc,Tablespoon(s)
product.product_uom_categ_unit,1,0.01,Reference Unit of Measure for this category,74ea4fb4-1b15-4530-98b4-eb21865d1a75,Tablet(s)
product.product_uom_categ_vol,202.884,0.01,Smaller than the reference Unit of Measure,a5fe3a74-9f74-433a-bf39-024239ab9167,Teaspoon(s)
product.product_uom_categ_unit,1,0.001,Reference Unit of Measure for this category,f9683d3c-a152-4849-a3d4-a3f9c165d949,Unit(s)
product.product_uom_categ_vol,1,0.01,Reference Unit of Measure for this category,42709d9b-83d7-4523-90ba-f2e6a52c59e6,Vial(s)
product.uom_categ_length,100,0.01,Smaller than the reference Unit of Measure,61262830-0a75-4196-87f7-6705f34190f9,cm
product.product_uom_categ_vol,33.814,0.01,Smaller than the reference Unit of Measure,f6d26314-4cc0-4d1e-a142-77a0d82ba035,fl oz
product.uom_categ_length,3.28084,0.01,Smaller than the reference Unit of Measure,f6ceb0cc-8456-4b52-9bda-8251a17a90e5,foot(ft)
product.product_uom_categ_kgm,1000,0.01,Smaller than the reference Unit of Measure,6c9e4115-6068-4515-aa6c-898203681e9d,g
product.product_uom_categ_vol,0.264172176858,0.01,Bigger than the reference Unit of Measure,99ba61bf-a1e4-427d-a143-36210d398bb2,gal(s)
product.uom_categ_length,39.3701,0.01,Smaller than the reference Unit of Measure,f6c8a9c8-8cb2-4176-8031-1bc778395a98,inch(es)
product.product_uom_categ_kgm,1,0.001,Reference Unit of Measure for this category,b46819e7-9b15-4229-9cce-9dbedaa1b8e4,kg
product.uom_categ_length,0.001,0.01,Bigger than the reference Unit of Measure,96988b83-beaa-4b69-8317-4ebde606a952,km
product.product_uom_categ_kgm,2.20462,0.01,Smaller than the reference Unit of Measure,762588eb-71b4-437e-8ceb-162d66d77994,lb(s)
product.uom_categ_length,1,0.01,Reference Unit of Measure for this category,314c31df-20c3-426b-99f2-6bf6959ae71a,m
product.product_uom_categ_kgm,1000000,0.01,Smaller than the reference Unit of Measure,9ee018c0-24c0-4cf0-ae66-de60d5b3298f,mg
product.uom_categ_length,0.00062137273665,0.01,Bigger than the reference Unit of Measure,39197036-e7a2-43c1-92ce-6f5505a39efb,mile(s)
product.product_uom_categ_vol,1000,0.01,Smaller than the reference Unit of Measure,1c8463f1-9563-4633-81f9-8e7642d55e48,ml
product.product_uom_categ_kgm,35.274,0.01,Smaller than the reference Unit of Measure,a334bf50-a7fe-45d7-a47f-58e962ed6c7b,oz(s)
product.product_uom_categ_vol,1.05669,0.01,Smaller than the reference Unit of Measure,55e5a83b-a620-48dc-9983-52db5e05a482,qt
product.product_uom_categ_kgm,0.001,0.01,Bigger than the reference Unit of Measure,862ea13e-7fa0-4e80-b56f-a6af24d76ebe,t
product.product_uom_categ_unit,1,0.01,Reference Unit of Measure for this category,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,Bottle(s)
